norm,k_graph,alpha,conf_threshold,mean_macro_f1,mean_acc,mean_conf_assigned,pct_assigned
minmax,30,0.2,0.8,0.20266784131007623,0.31926755356874204,0.9498573402880904,0.573737431708953
minmax,30,0.3,0.5,0.1982594574646315,0.31456994562530904,0.8236170132318249,0.8736289501039526
minmax,30,0.3,0.6,0.1982594574646315,0.31456994562530904,0.872536708148464,0.7429084809864036
minmax,30,0.3,0.7,0.1982594574646315,0.31456994562530904,0.909245272347007,0.6377892540211132
minmax,30,0.3,0.8,0.1982594574646315,0.31456994562530904,0.9403235746920161,0.5338156521505218
minmax,30,0.5,0.5,0.19369521773755843,0.30758935287670053,0.7970713477402899,0.8216295163108454
minmax,30,0.5,0.6,0.19369521773755843,0.30758935287670053,0.8475017798214317,0.683569517869433
minmax,30,0.5,0.7,0.19369521773755843,0.30758935287670053,0.8895075641577531,0.5643602499856639
minmax,30,0.5,0.8,0.19369521773755843,0.30758935287670053,0.9249387041494148,0.4502045387220553
minmax,30,0.7,0.5,0.19174211162194615,0.307615680543317,0.768986078365844,0.7563809267745695
minmax,30,0.7,0.6,0.19174211162194615,0.307615680543317,0.8240635431901217,0.605896802424056
minmax,30,0.7,0.7,0.19174211162194615,0.307615680543317,0.8702647169494065,0.4798949942315964
minmax,30,0.7,0.8,0.19174211162194615,0.307615680543317,0.9126547162502027,0.35485990169125786
minmax,50,0.1,0.5,0.19438248741078096,0.34315158288379294,0.8495292526938868,0.9158827424469144
minmax,50,0.1,0.6,0.19438248741078096,0.34315158288379294,0.8968695460727975,0.7911949155956272
minmax,50,0.1,0.7,0.19438248741078096,0.34315158288379294,0.934990930942146,0.6856480453149452
minmax,50,0.1,0.8,0.19438248741078096,0.34315158288379294,0.9596216577594937,0.6047792061186014
minmax,50,0.2,0.5,0.19332107933596457,0.34315158288379294,0.8315798646692486,0.895948486033996
minmax,50,0.2,0.6,0.19332107933596457,0.34315158288379294,0.8809575099125673,0.7626355712743584
minmax,50,0.2,0.7,0.19332107933596457,0.34315158288379294,0.9193609653648828,0.6543148185835593
minmax,50,0.2,0.8,0.19332107933596457,0.34315158288379294,0.9467820653238198,0.5629063685689789
minmax,50,0.3,0.5,0.19107389937252164,0.3407896150787681,0.815512920880037,0.8749839704983974
minmax,50,0.3,0.6,0.19107389937252164,0.3407896150787681,0.8671902622457092,0.7331764677698317
minmax,50,0.3,0.7,0.19107389937252164,0.3407896150787681,0.9068592324478099,0.6206496312075311
minmax,50,0.3,0.8,0.19107389937252164,0.3407896150787681,0.9370105737558986,0.5200585372601437
minmax,50,0.5,0.5,0.18518711948040728,0.3313417438586688,0.7879169486911258,0.8192976174607258
minmax,50,0.5,0.6,0.18518711948040728,0.3313417438586688,0.8406354155863723,0.6723464593390617
minmax,50,0.5,0.7,0.18518711948040728,0.3313417438586688,0.8831480872546398,0.5511870917777413
minmax,50,0.5,0.8,0.18518711948040728,0.3313417438586688,0.9201154035589303,0.4305169931834622
minmax,50,0.7,0.5,0.1854698148032923,0.3269622171119087,0.7589690941168197,0.75020338340524
minmax,50,0.7,0.6,0.1854698148032923,0.3269622171119087,0.8144886884072638,0.5932699007193752
minmax,50,0.7,0.7,0.1854698148032923,0.3269622171119087,0.8634509891990948,0.4581524460647681
minmax,50,0.7,0.8,0.1854698148032923,0.3269622171119087,0.9062802867826288,0.33193491540682823
standard,10,0.1,0.5,0.1185374671704689,0.21122257086978014,0.8991325427345555,0.9317320139161801
standard,10,0.1,0.6,0.1185374671704689,0.21122257086978014,0.9381737426228994,0.8388115065289065
standard,10,0.1,0.7,0.1185374671704689,0.21122257086978014,0.9609739953802571,0.7789666359352898
standard,10,0.1,0.8,0.1185374671704689,0.21122257086978014,0.9768213784844647,0.7265135400983391
standard,10,0.2,0.5,0.1197630621012974,0.2088342753981388,0.889342576454155,0.93302170687281
standard,10,0.2,0.6,0.1197630621012974,0.2088342753981388,0.9291398041660143,0.8353310241561176
standard,10,0.2,0.7,0.1197630621012974,0.2088342753981388,0.9525524197225396,0.7716970118536258
standard,10,0.2,0.8,0.1197630621012974,0.2088342753981388,0.9701753969858631,0.7117388465596507
